term,coefficient,direction
is,2.1029458542819333,aegis
you,2.0773096933039166,aegis
it,1.7298513991374451,aegis
they,1.7292236541597457,aegis
if,1.6436654603012555,aegis
but,1.6126663534440406,aegis
he,1.6076131860797662,aegis
are,1.465440696691878,aegis
do,1.4387756995560603,aegis
what,1.3435443517308971,aegis
not,1.3402913640505378,aegis
if you,1.218928034640261,aegis
how,1.1932784493307762,aegis
there,1.1847975404396351,aegis
that,1.1788135965804127,aegis
she,1.1100726484719103,aegis
have,1.0953800903545474,aegis
then,1.045471435914574,aegis
was,1.0091925214768036,aegis
know,0.9927195680986032,aegis
someone,0.9865846005536356,aegis
be,0.9687504060285979,aegis
want,0.916550712796522,aegis
can,0.9108857770282336,aegis
am,0.9076025377672189,aegis
there are,0.8860347680457821,aegis
been,0.8625879657194121,aegis
who,0.8618742795759616,aegis
so,0.8570024925455186,aegis
people,0.8487938884066442,aegis
step,-1.6267338699788334,hex_phi
the,-1.109174330376104,hex_phi
our,-0.903962716841412,hex_phi
and,-0.8408783963698628,hex_phi
instructions,-0.8059298358902742,hex_phi
potential,-0.7887284052856195,hex_phi
link,-0.7741307317959738,hex_phi
com,-0.7674802427990488,hex_phi
give me,-0.7551771120452114,hex_phi
create,-0.7545634904968288,hex_phi
code,-0.7092814082877914,hex_phi
give,-0.6611503513050809,hex_phi
your,-0.6416865218273742,hex_phi
data,-0.6404509244700938,hex_phi
list,-0.5958883674996627,hex_phi
platforms,-0.5932778448777154,hex_phi
ensure,-0.5852728910794739,hex_phi
links,-0.56180296149392,hex_phi
financial,-0.5541879536716376,hex_phi
provide,-0.5490224163321715,hex_phi
let,-0.535890244274488,hex_phi
individuals,-0.5358385286460274,hex_phi
with,-0.52844903646815,hex_phi
content,-0.5151905801011681,hex_phi
some insults,-0.5070668665504625,hex_phi
personal,-0.5044382210908539,hex_phi
explicit,-0.49504453984001684,hex_phi
detailed,-0.4882611606369784,hex_phi
step by,-0.48077325965670764,hex_phi
by step,-0.48077325965670764,hex_phi
