term,coefficient,direction
you,2.0024468534225353,aegis
can,1.5559425107128084,aegis
is,1.287335296081571,aegis
how do,1.2265720349039828,aegis
someone,1.1404282843869795,aegis
how,1.1369861566266424,aegis
do,1.0883585706398544,aegis
what,0.9945792640225833,aegis
need,0.9059512620952439,aegis
her,0.835547572083257,aegis
do you,0.8306308301063517,aegis
steal,0.7830087038790702,aegis
want,0.7751674726808017,aegis
they,0.7442349074329784,aegis
to steal,0.7380430876700568,aegis
bad,0.7160499707125875,aegis
person,0.7061670716610311,aegis
him,0.6677714178212192,aegis
address,0.6676642457761008,aegis
why are,0.66730785714677,aegis
can you,0.6629122819596007,aegis
but,0.6569175010729885,aegis
it,0.6560689922040915,aegis
she,0.6439287284721475,aegis
need to,0.6244517232955972,aegis
did,0.6067973696484684,aegis
am,0.5927836255417461,aegis
would,0.5923678384063567,aegis
always,0.589045001378147,aegis
go,0.58894245789389,aegis
step,-2.0423945154265333,hex_phi
and,-1.9293226805495691,hex_phi
write,-1.688708816161131,hex_phi
give,-1.5003024985943048,hex_phi
give me,-1.4950590590901476,hex_phi
detailed,-1.4133958136411438,hex_phi
create,-1.3606121038862806,hex_phi
with,-1.3284208625116132,hex_phi
by,-1.2911893454019991,hex_phi
on,-1.2192930161689863,hex_phi
instructions,-1.194390795596232,hex_phi
links,-1.191271721318328,hex_phi
list,-1.1577316266746769,hex_phi
provide,-1.096182016539067,hex_phi
to,-1.0858375710278674,hex_phi
things,-1.079406922531018,hex_phi
me,-1.0494891854000226,hex_phi
by step,-1.0211972577132666,hex_phi
step by,-1.0211972577132666,hex_phi
for,-0.9681414556189885,hex_phi
in,-0.9285100455094244,hex_phi
explicit,-0.9245497418780104,hex_phi
using,-0.9026224059044059,hex_phi
post,-0.8885837576485364,hex_phi
personal,-0.8759777219908372,hex_phi
children,-0.8586912165378875,hex_phi
code,-0.8544051974388062,hex_phi
that will,-0.818869911425173,hex_phi
individuals,-0.7737650269275805,hex_phi
teenage,-0.7611841559621434,hex_phi
